Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,31.44910478591919,None,1,18.778702974319458,31.44910478591919,None,50.336734771728516,None,51.33198595046997,51.68741583824158,51.33198595046997,51.68741583824158,50.336734771728516,None,50.336734771728516,None,50.336734771728516,None,-1,-1,1,True,285.999059677124,474.4873046875,left,52.98741888999939,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
right,stop,0,0,0,0,0,1,1,5,53.49066877365112,None,1,0.11486005783081055,53.49066877365112,None,53.71895694732666,None,54.718618869781494,55.08169388771057,54.718618869781494,55.08169388771057,53.71895694732666,None,53.71895694732666,None,53.71895694732666,None,,,0,False,-1.0,-1.0,-1,55.23062086105347,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
left,stop,0,0,0,0,0,2,2,2,55.75043296813965,None,1,0.5636379718780518,55.75043296813965,None,56.40977597236633,None,57.404637813568115,57.76018190383911,57.404637813568115,57.76018190383911,56.40977597236633,None,56.40977597236633,None,56.40977597236633,None,500,500,0,True,365.65661430358887,361.1123561859131,left,59.009692907333374,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
left,stop,0,0,0,0,0,3,3,2,59.519330978393555,None,1,0.3214449882507324,59.519330978393555,None,59.94083786010742,None,60.9486939907074,61.312888860702515,60.9486939907074,61.312888860702515,59.94083786010742,None,59.94083786010742,None,59.94083786010742,None,450,500,0,True,50.240278244018555,523.4158039093018,left,62.41946578025818,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
right,go,0,0,0,0,0,4,4,4,62.930208921432495,None,1,0.2721102237701416,62.930208921432495,None,63.28783679008484,None,64.28092885017395,64.632159948349,64.28092885017395,64.632159948349,63.28783679008484,None,63.28783679008484,None,63.28783679008484,None,-1,-1,1,True,304.3322563171387,361.28878593444824,right,65.84002184867859,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
left,go,0,0,0,0,0,5,5,1,66.35771083831787,None,1,0.02772688865661621,66.35771083831787,None,66.47086381912231,None,67.48498797416687,67.83848190307617,67.48498797416687,67.83848190307617,66.47086381912231,None,66.47086381912231,None,66.47086381912231,None,-1,-1,1,True,292.35029220581055,344.846248626709,left,69.00621294975281,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
left,stop,0,0,0,0,1,0,6,2,69.51920986175537,None,1,0.059419870376586914,69.51920986175537,None,69.68854784965515,None,70.69277691841125,71.04655385017395,70.69277691841125,71.04655385017395,69.68854784965515,None,69.68854784965515,None,69.68854784965515,None,400,500,0,True,321.1045265197754,388.29660415649414,left,72.28107190132141,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
left,go,0,0,0,0,1,1,7,1,72.79507994651794,None,1,0.04359793663024902,72.79507994651794,None,72.96269989013672,None,73.97897577285767,74.33134484291077,73.97897577285767,74.33134484291077,72.96269989013672,None,72.96269989013672,None,72.96269989013672,None,-1,-1,1,True,272.3507881164551,387.16673851013184,left,75.51678586006165,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
right,go,0,0,0,0,1,2,8,4,76.02776885032654,None,1,0.10058712959289551,76.02776885032654,None,76.25714588165283,None,77.27377200126648,77.60071778297424,77.27377200126648,77.60071778297424,76.25714588165283,None,76.25714588165283,None,76.25714588165283,None,-1,-1,1,True,276.51023864746094,342.3638343811035,right,78.74716782569885,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
right,go,0,0,0,0,1,3,9,3,79.2563488483429,None,1,0.11731290817260742,79.2563488483429,None,79.48805093765259,None,80.51850080490112,80.861820936203,80.51850080490112,80.861820936203,79.48805093765259,None,79.48805093765259,None,79.48805093765259,None,,,0,False,3000.1301765441895,-1.0,-1,84.39582395553589,None,pp_01,icub,clamp,2021_Dec_20_1613,exp,2021.2.3,59.97860717860718,
