Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,43.24379801750183,None,1,4.483886003494263,43.24379801750183,None,47.86106300354004,None,48.87535786628723,49.19767189025879,48.87535786628723,49.19767189025879,47.86106300354004,None,47.86106300354004,None,47.86106300354004,None,-1,-1,0,False,606.2664985656738,2102.268695831299,left,52.47209286689758,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,stop,0,0,0,0,0,1,1,5,52.986822843551636,None,1,8.639012098312378,52.986822843551636,None,61.73452401161194,None,62.73406791687012,63.07679581642151,62.73406791687012,63.07679581642151,61.73452401161194,None,61.73452401161194,None,61.73452401161194,None,500,500,0,True,594.557523727417,1362.6065254211426,right,65.56665897369385,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,go,0,0,0,0,0,2,2,4,66.1001489162445,None,1,1.3009018898010254,66.1001489162445,None,67.50698590278625,None,68.50432085990906,68.86310982704163,68.50432085990906,68.86310982704163,67.50698590278625,None,67.50698590278625,None,67.50698590278625,None,-1,-1,1,True,310.44721603393555,1469.2769050598145,right,71.19647979736328,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
left,go,0,0,0,0,0,3,3,1,71.71456098556519,None,1,1.493077039718628,71.71456098556519,None,73.3091549873352,None,74.32596898078918,74.68469786643982,74.32596898078918,74.68469786643982,73.3091549873352,None,73.3091549873352,None,73.3091549873352,None,-1,-1,1,True,787.3258590698242,1487.1635437011719,left,77.48151683807373,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
left,stop,0,0,0,0,0,4,4,2,77.9827618598938,None,1,1.870948076248169,77.9827618598938,None,79.95466899871826,None,80.94860982894897,81.28615188598633,80.94860982894897,81.28615188598633,79.95466899871826,None,79.95466899871826,None,79.95466899871826,None,500,450,1,True,518.7497138977051,-1.0,-1,85.37769484519958,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,go,0,0,0,0,0,5,5,3,85.91031885147095,None,1,0.8249380588531494,85.91031885147095,None,86.83501195907593,None,87.80454182624817,88.16007399559021,87.80454182624817,88.16007399559021,86.83501195907593,None,86.83501195907593,None,86.83501195907593,None,-1,-1,1,True,444.8573589324951,1256.7553520202637,right,90.42800092697144,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,stop,0,0,0,0,1,0,6,5,90.94655585289001,None,1,1.2782518863677979,90.94655585289001,None,92.35284686088562,None,None,None,None,None,92.35284686088562,None,92.35284686088562,None,92.35284686088562,None,,,0,False,-1.0,-1.0,-1,93.01697993278503,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,go,0,0,0,0,1,1,7,3,93.54289698600769,None,1,13.367130041122437,93.54289698600769,None,107.01791596412659,None,107.99958896636963,108.34633994102478,107.99958896636963,108.34633994102478,107.01791596412659,None,107.01791596412659,None,107.01791596412659,None,-1,-1,1,True,248.60668182373047,1764.1983032226562,right,110.9280948638916,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
left,go,0,0,0,0,1,2,8,1,111.45957589149475,None,1,1.6153531074523926,111.45957589149475,None,113.18120980262756,None,114.18481588363647,114.53391194343567,114.18481588363647,114.53391194343567,113.18120980262756,None,113.18120980262756,None,113.18120980262756,None,-1,-1,1,True,311.66839599609375,1405.9185981750488,left,116.78226494789124,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
right,go,0,0,0,0,1,3,9,3,117.30738687515259,None,1,1.4781618118286133,117.30738687515259,None,118.88050198554993,None,119.89816284179688,120.25979280471802,119.89816284179688,120.25979280471802,118.88050198554993,None,118.88050198554993,None,118.88050198554993,None,-1,-1,1,True,446.55537605285645,1306.6692352294922,right,122.54099178314209,None,pp_3,icub,clamp,2021_Dec_21_1036,exp,2021.2.3,60.00846982339274,
