Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,79.64650106430054,None,1,10.934827089309692,79.64650106430054,None,90.67191505432129,None,91.67389392852783,92.02877306938171,91.67389392852783,92.02877306938171,90.67191505432129,None,90.67191505432129,None,90.67191505432129,None,-1,-1,1,True,327.43215560913086,451.84803009033203,right,93.34482097625732,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
left,go,0,0,0,0,0,1,1,0,93.87206387519836,None,1,0.48685288429260254,93.87206387519836,None,94.47023606300354,None,95.49479007720947,95.83901786804199,95.49479007720947,95.83901786804199,94.47023606300354,None,94.47023606300354,None,94.47023606300354,None,-1,-1,1,True,261.655330657959,264.33300971984863,left,96.89580392837524,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
left,go,0,0,0,0,0,2,2,1,97.41128301620483,None,1,0.596656084060669,97.41128301620483,None,98.13639807701111,None,99.17185997962952,99.52643704414368,99.17185997962952,99.52643704414368,98.13639807701111,None,98.13639807701111,None,98.13639807701111,None,-1,-1,1,True,316.9999122619629,415.2200222015381,left,100.74863004684448,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
left,go,0,0,0,0,0,3,3,1,101.26700592041016,None,1,0.678056001663208,101.26700592041016,None,102.05482602119446,None,103.08294296264648,103.41576099395752,103.08294296264648,103.41576099395752,102.05482602119446,None,102.05482602119446,None,102.05482602119446,None,-1,-1,1,True,367.4275875091553,299.9124526977539,left,104.61395287513733,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
right,go,0,0,0,0,0,4,4,3,105.12636590003967,None,1,0.48061394691467285,105.12636590003967,None,105.7304790019989,None,106.73380708694458,107.08695697784424,106.73380708694458,107.08695697784424,105.7304790019989,None,105.7304790019989,None,105.7304790019989,None,-1,-1,1,True,328.58777046203613,358.6595058441162,right,108.29755687713623,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
left,go,0,0,0,0,0,5,5,1,108.79974293708801,None,1,0.6594278812408447,108.79974293708801,None,109.58769392967224,None,110.60417008399963,110.95916700363159,110.60417008399963,110.95916700363159,109.58769392967224,None,109.58769392967224,None,109.58769392967224,None,-1,-1,1,True,392.1217918395996,439.00299072265625,left,112.2970540523529,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
right,go,0,0,0,0,1,0,6,4,112.80228590965271,None,1,0.4569728374481201,112.80228590965271,None,113.34472799301147,None,114.36165189743042,114.7128598690033,114.36165189743042,114.7128598690033,113.34472799301147,None,113.34472799301147,None,113.34472799301147,None,-1,-1,1,True,324.3229389190674,318.35389137268066,right,115.87574696540833,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
left,stop,0,0,0,0,1,1,7,2,116.38028597831726,None,1,0.663862943649292,116.38028597831726,None,117.16723489761353,None,118.18110799789429,118.53462100028992,118.18110799789429,118.53462100028992,117.16723489761353,None,117.16723489761353,None,117.16723489761353,None,500,500,0,True,371.0141181945801,468.85180473327637,left,119.90862989425659,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
right,stop,0,0,0,0,1,2,8,5,120.42481899261475,None,1,0.9573662281036377,120.42481899261475,None,121.46275591850281,None,122.46992802619934,122.83449196815491,122.46992802619934,122.83449196815491,121.46275591850281,None,121.46275591850281,None,121.46275591850281,None,450,500,0,True,590.4061794281006,299.1197109222412,right,124.25233507156372,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
right,stop,0,0,0,0,1,3,9,5,124.77147197723389,None,1,0.9734330177307129,124.77147197723389,None,125.85733604431152,None,126.85528802871704,127.21442699432373,126.85528802871704,127.21442699432373,125.85733604431152,None,125.85733604431152,None,125.85733604431152,None,450,450,0,True,400.58302879333496,322.8914737701416,right,128.46710896492004,None,pp_14,icub,clamp,2021_Dec_23_1310,exp,2021.2.3,59.96677332372562,
