Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,52.52605605125427,None,1,10.12202501296997,52.52605605125427,None,62.74959087371826,None,63.74584603309631,64.09112501144409,63.74584603309631,64.09112501144409,62.74959087371826,None,62.74959087371826,None,62.74959087371826,None,-1,-1,1,True,302.9215335845947,358.80088806152344,left,65.32708692550659,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,stop,0,0,0,0,0,1,1,5,65.84309196472168,None,1,1.058539867401123,65.84309196472168,None,67.0031328201294,None,68.00792598724365,68.36256003379822,68.00792598724365,68.36256003379822,67.0031328201294,None,67.0031328201294,None,67.0031328201294,None,500,500,0,True,105.06939888000488,460.06035804748535,right,69.4542829990387,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,go,0,0,0,0,0,2,2,3,69.95331382751465,None,1,2.8086578845977783,69.95331382751465,None,72.8472089767456,None,73.86269783973694,74.21889305114746,73.86269783973694,74.21889305114746,72.8472089767456,None,72.8472089767456,None,72.8472089767456,None,-1,-1,1,True,334.00940895080566,543.1640148162842,right,75.62734293937683,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,go,0,0,0,0,0,3,3,3,76.13895082473755,None,1,1.5510210990905762,76.13895082473755,None,77.79621386528015,None,78.79948401451111,79.14611482620239,78.79948401451111,79.14611482620239,77.79621386528015,None,77.79621386528015,None,77.79621386528015,None,-1,-1,1,True,280.4293632507324,401.57556533813477,right,80.38513803482056,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,go,0,0,0,0,0,4,4,4,80.89454984664917,None,1,1.3453600406646729,80.89454984664917,None,82.36449790000916,None,83.39143300056458,83.72193598747253,83.39143300056458,83.72193598747253,82.36449790000916,None,82.36449790000916,None,82.36449790000916,None,-1,-1,1,True,186.21301651000977,632.7753067016602,right,85.07207703590393,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,go,0,0,0,0,0,5,5,3,85.58620405197144,None,1,1.0433008670806885,85.58620405197144,None,86.74546694755554,None,87.73637199401855,88.06551790237427,87.73637199401855,88.06551790237427,86.74546694755554,None,86.74546694755554,None,86.74546694755554,None,-1,-1,1,True,219.62833404541016,514.3954753875732,right,89.37459993362427,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
right,go,0,0,0,0,1,0,6,3,89.88683485984802,None,1,0.6518709659576416,89.88683485984802,None,90.66215991973877,None,91.67057704925537,92.03075098991394,91.67057704925537,92.03075098991394,90.66215991973877,None,90.66215991973877,None,90.66215991973877,None,-1,-1,1,True,62.99877166748047,657.5918197631836,right,93.26171898841858,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
left,go,0,0,0,0,1,1,7,1,93.77911901473999,None,1,0.5015780925750732,93.77911901473999,None,94.38243198394775,None,95.390625,95.75689196586609,95.390625,95.75689196586609,94.38243198394775,None,94.38243198394775,None,94.38243198394775,None,-1,-1,1,True,263.2713317871094,426.2235164642334,left,96.97502589225769,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
left,go,0,0,0,0,1,2,8,1,97.48163104057312,None,1,0.6441819667816162,97.48163104057312,None,98.2078468799591,None,99.20659184455872,99.56298899650574,99.20659184455872,99.56298899650574,98.2078468799591,None,98.2078468799591,None,98.2078468799591,None,-1,-1,1,True,153.50103378295898,468.9939022064209,left,100.71706700325012,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
left,go,0,0,0,0,1,3,9,1,101.21895384788513,None,1,0.38765883445739746,101.21895384788513,None,101.70228385925293,None,102.69749999046326,103.01923704147339,102.69749999046326,103.01923704147339,101.70228385925293,None,101.70228385925293,None,101.70228385925293,None,,,0,False,-1.0,-1.0,-1,103.53283405303955,None,pp_12,icub,clamp,2021_Dec_22_1626,exp,2021.2.3,60.183003910033364,
