Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,0,0,0,1,62.81966710090637,None,1,27.91854190826416,62.81966710090637,None,90.84514498710632,None,91.84928512573242,92.20008206367493,91.84928512573242,92.20008206367493,90.84514498710632,None,90.84514498710632,None,90.84514498710632,None,-1,-1,1,True,377.4106502532959,498.08430671691895,left,93.60572099685669,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,stop,0,0,0,0,0,1,1,2,94.12883615493774,None,1,0.9041640758514404,94.12883615493774,None,95.14862298965454,None,96.1720061302185,96.53137803077698,96.1720061302185,96.53137803077698,95.14862298965454,None,95.14862298965454,None,95.14862298965454,None,500,500,0,True,566.0138130187988,459.1860771179199,left,98.05195808410645,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
right,go,0,0,0,0,0,2,2,4,98.57288408279419,None,1,0.9561929702758789,98.57288408279419,None,99.60946106910706,None,100.60463809967041,100.9546389579773,100.60463809967041,100.9546389579773,99.60946106910706,None,99.60946106910706,None,99.60946106910706,None,-1,-1,1,True,415.388822555542,618.9374923706055,right,102.5575180053711,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,stop,0,0,0,0,0,3,3,2,103.07569003105164,None,1,0.6903409957885742,103.07569003105164,None,103.85653805732727,None,104.85868906974792,105.21783399581909,104.85868906974792,105.21783399581909,103.85653805732727,None,103.85653805732727,None,103.85653805732727,None,450,500,1,True,940.0277137756348,-1.0,-1,109.68871712684631,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,go,0,0,0,0,0,4,4,0,110.21218204498291,None,1,0.7014081478118896,110.21218204498291,None,111.00775003433228,None,111.99058103561401,112.35515403747559,111.99058103561401,112.35515403747559,111.00775003433228,None,111.00775003433228,None,111.00775003433228,None,-1,-1,1,True,323.3625888824463,526.5276432037354,left,113.7384741306305,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
right,go,0,0,0,0,0,5,5,4,114.25439405441284,None,1,0.7816741466522217,114.25439405441284,None,115.16323709487915,None,116.16564106941223,116.53582501411438,116.16564106941223,116.53582501411438,115.16323709487915,None,115.16323709487915,None,115.16323709487915,None,-1,-1,1,True,67.69251823425293,612.2541427612305,right,117.74306797981262,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,stop,0,0,0,0,1,0,6,2,118.25834012031555,None,1,0.7219040393829346,118.25834012031555,None,119.10858201980591,None,120.1235830783844,120.471853017807,120.1235830783844,120.471853017807,119.10858201980591,None,119.10858201980591,None,119.10858201980591,None,500,500,1,True,318.1309700012207,-1.0,-1,124.31926202774048,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
right,go,0,0,0,0,1,1,7,3,124.85104703903198,None,1,0.6324779987335205,124.85104703903198,None,125.58692216873169,None,126.56424903869629,126.90169310569763,126.56424903869629,126.90169310569763,125.58692216873169,None,125.58692216873169,None,125.58692216873169,None,-1,-1,1,True,387.70556449890137,715.8050537109375,right,128.57351207733154,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
right,stop,0,0,0,0,1,2,8,5,129.0786120891571,None,1,0.7964019775390625,129.0786120891571,None,129.98931217193604,None,131.00320410728455,131.33131217956543,131.00320410728455,131.33131217956543,129.98931217193604,None,129.98931217193604,None,129.98931217193604,None,550,500,1,True,541.3258075714111,-1.0,-1,135.40287899971008,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,go,0,0,0,0,1,3,9,0,135.9332239627838,None,1,0.5831928253173828,135.9332239627838,None,136.60620617866516,None,137.6009020805359,137.95631504058838,137.6009020805359,137.95631504058838,136.60620617866516,None,136.60620617866516,None,136.60620617866516,None,-1,-1,1,True,314.65768814086914,518.3167457580566,left,139.31158995628357,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
right,go,0,0,0,0,1,4,10,3,139.81835198402405,None,1,0.969702959060669,139.81835198402405,None,140.9112319946289,None,141.90739703178406,142.26246094703674,141.90739703178406,142.26246094703674,140.9112319946289,None,140.9112319946289,None,140.9112319946289,None,-1,-1,1,True,288.3179187774658,715.3244018554688,right,143.79910898208618,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,go,0,0,0,0,1,5,11,1,144.30700707435608,None,1,0.7087039947509766,144.30700707435608,None,145.09617710113525,None,146.1156280040741,146.47667598724365,146.1156280040741,146.47667598724365,145.09617710113525,None,145.09617710113525,None,145.09617710113525,None,-1,-1,1,True,433.734655380249,656.7232608795166,left,148.09565114974976,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
left,stop,0,0,0,0,2,0,12,2,148.61316299438477,None,1,0.7335128784179688,148.61316299438477,None,149.46548295021057,None,150.4787449836731,150.84093117713928,150.4787449836731,150.84093117713928,149.46548295021057,None,149.46548295021057,None,149.46548295021057,None,550,550,0,True,344.30527687072754,560.1541996002197,left,152.27467012405396,None,pp_10,icub,clamp,2021_Dec_22_1118,exp,2021.2.3,60.03054265452021,
