Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,4,4,28,4,174.83169889450073,None,1,0.390470027923584,174.83169889450073,None,175.30820894241333,None,176.32857179641724,176.69417881965637,176.32857179641724,176.69417881965637,175.30820894241333,None,175.30820894241333,None,175.30820894241333,None,-1,-1,1,True,306.80060386657715,539.6952629089355,right,178.06447386741638,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,4,5,29,4,178.59367084503174,None,1,0.3917360305786133,178.59367084503174,None,179.07606387138367,None,180.08147287368774,180.42911791801453,180.08147287368774,180.42911791801453,179.07606387138367,None,179.07606387138367,None,179.07606387138367,None,-1,-1,1,True,282.2234630584717,519.6850299835205,right,181.742830991745,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,stop,0,0,0,0,5,0,30,5,182.26356983184814,None,1,0.46272802352905273,182.26356983184814,None,182.80644583702087,None,183.80627989768982,184.15633177757263,183.80627989768982,184.15633177757263,182.80644583702087,None,182.80644583702087,None,182.80644583702087,None,550,400,0,True,266.298770904541,491.11318588256836,right,185.45549082756042,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,5,1,31,4,185.96782779693604,None,1,0.7694320678710938,185.96782779693604,None,186.81817197799683,None,187.81785488128662,188.17614698410034,187.81785488128662,188.17614698410034,186.81817197799683,None,186.81817197799683,None,186.81817197799683,None,-1,-1,1,True,280.1504135131836,591.1126136779785,right,189.58345699310303,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,5,2,32,4,190.0963249206543,None,1,0.7025489807128906,190.0963249206543,None,190.88421893119812,None,191.90106081962585,192.25982999801636,191.90106081962585,192.25982999801636,190.88421893119812,None,190.88421893119812,None,190.88421893119812,None,-1,-1,1,True,440.2656555175781,596.7397689819336,right,193.8210699558258,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,5,3,33,1,194.35162091255188,None,1,0.4745941162109375,194.35162091255188,None,194.95401978492737,None,195.96112394332886,196.3201777935028,195.96112394332886,196.3201777935028,194.95401978492737,None,194.95401978492737,None,194.95401978492737,None,-1,-1,1,True,484.80987548828125,533.8330268859863,left,197.8665099143982,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,5,4,34,4,198.38089299201965,None,1,0.3744051456451416,198.38089299201965,None,198.8589940071106,None,199.86871790885925,200.20158886909485,199.86871790885925,200.20158886909485,198.8589940071106,None,198.8589940071106,None,198.8589940071106,None,-1,-1,1,True,239.54510688781738,591.0625457763672,right,201.55599999427795,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
right,go,0,0,0,0,5,5,35,3,202.07432889938354,None,1,0.356860876083374,202.07432889938354,None,202.55101799964905,None,203.5650668144226,203.9117407798767,203.5650668144226,203.9117407798767,202.55101799964905,None,202.55101799964905,None,202.55101799964905,None,-1,-1,1,True,361.18459701538086,550.0984191894531,right,205.34001183509827,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,6,0,36,1,205.87000179290771,None,1,0.34943509101867676,205.87000179290771,None,206.33165192604065,None,207.34891295433044,207.69354486465454,207.34891295433044,207.69354486465454,206.33165192604065,None,206.33165192604065,None,206.33165192604065,None,-1,-1,1,True,308.2385063171387,732.7146530151367,left,209.25686287879944,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,stop,0,0,0,0,6,1,37,2,209.76528000831604,None,1,0.3648660182952881,209.76528000831604,None,210.24389696121216,None,211.23901796340942,211.5935218334198,211.23901796340942,211.5935218334198,210.24389696121216,None,210.24389696121216,None,210.24389696121216,None,550,350,0,True,379.0783882141113,643.7523365020752,left,213.17268586158752,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
left,go,0,0,0,0,6,2,38,1,213.69099593162537,None,1,0.5181989669799805,213.69099593162537,None,214.326819896698,None,215.3437089920044,215.69271779060364,215.3437089920044,215.69271779060364,214.326819896698,None,214.326819896698,None,214.326819896698,None,-1,-1,1,True,296.5221405029297,642.6982879638672,left,217.1539089679718,None,pp_17,icub,clamp,2021_Dec_23_1616,exp,2021.2.3,59.85048451976821,
