Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,go,0,0,0,0,0,0,0,4,73.69849514961243,None,1,4.094133138656616,73.69849514961243,None,77.87803912162781,None,78.87861108779907,79.22098898887634,78.87861108779907,79.22098898887634,77.87803912162781,None,77.87803912162781,None,77.87803912162781,None,-1,-1,1,True,218.22857856750488,1000.5791187286377,right,80.97722291946411,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
right,go,0,0,0,0,0,1,1,4,81.4755380153656,None,1,0.6702229976654053,81.4755380153656,None,82.26455593109131,None,83.2863359451294,83.64380502700806,83.2863359451294,83.64380502700806,82.26455593109131,None,82.26455593109131,None,82.26455593109131,None,-1,-1,1,True,448.26531410217285,826.7354965209961,right,85.44958400726318,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
left,go,0,0,0,0,0,2,2,1,85.95932602882385,None,1,0.6804499626159668,85.95932602882385,None,86.74560213088989,None,87.76269197463989,88.10943508148193,87.76269197463989,88.10943508148193,86.74560213088989,None,86.74560213088989,None,86.74560213088989,None,-1,-1,1,True,462.2671604156494,841.1705493927002,left,89.94331812858582,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
left,stop,0,0,0,0,0,3,3,2,90.45916104316711,None,1,0.4782397747039795,90.45916104316711,None,91.0612051486969,None,92.07683110237122,92.4341869354248,92.07683110237122,92.4341869354248,91.0612051486969,None,91.0612051486969,None,91.0612051486969,None,500,500,1,True,368.1962490081787,-1.0,-1,96.3345239162445,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
left,stop,0,0,0,0,0,4,4,2,96.86414194107056,None,1,0.5340499877929688,96.86414194107056,None,97.53725600242615,None,98.51484608650208,98.87236094474792,98.51484608650208,98.87236094474792,97.53725600242615,None,97.53725600242615,None,97.53725600242615,None,550,500,1,True,500.8885860443115,-1.0,-1,102.90415096282959,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
right,stop,0,0,0,0,0,5,5,5,103.43472504615784,None,1,0.6843860149383545,103.43472504615784,None,104.23485994338989,None,105.24074292182922,105.60391902923584,105.24074292182922,105.60391902923584,104.23485994338989,None,104.23485994338989,None,104.23485994338989,None,600,500,1,True,406.0218334197998,-1.0,-1,109.53135204315186,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
right,go,0,0,0,0,1,0,6,3,110.06268692016602,None,1,0.5796749591827393,110.06268692016602,None,110.73553395271301,None,111.7113471031189,112.06851291656494,111.7113471031189,112.06851291656494,110.73553395271301,None,110.73553395271301,None,110.73553395271301,None,-1,-1,1,True,628.3814907073975,860.222339630127,right,114.11703515052795,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
right,stop,0,0,0,0,1,1,7,5,114.63717913627625,None,1,0.5388259887695312,114.63717913627625,None,115.29634094238281,None,116.31551599502563,116.67188692092896,116.31551599502563,116.67188692092896,115.29634094238281,None,115.29634094238281,None,115.29634094238281,None,600,550,1,True,232.04827308654785,-1.0,-1,120.43260097503662,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
left,go,0,0,0,0,1,2,8,1,120.96328210830688,None,1,0.5838639736175537,120.96328210830688,None,121.6367700099945,None,122.6140489578247,122.96955108642578,122.6140489578247,122.96955108642578,121.6367700099945,None,121.6367700099945,None,121.6367700099945,None,-1,-1,1,True,292.4818992614746,890.6466960906982,left,124.68602108955383,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
right,stop,0,0,0,0,1,3,9,5,125.19012093544006,None,1,0.663201093673706,125.19012093544006,None,125.97768497467041,None,127.00182509422302,127.34706592559814,127.00182509422302,127.34706592559814,125.97768497467041,None,125.97768497467041,None,125.97768497467041,None,600,600,0,True,295.8049774169922,673.0632781982422,right,128.84097695350647,None,pp_09,icub,clamp,2021_Dec_22_1023,exp,2021.2.3,59.95100211256936,
