Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,stop,0,0,0,0,0,0,0,2,55.19703698158264,None,1,6.51006007194519,55.19703698158264,None,61.79372191429138,None,62.81573295593262,63.187593936920166,62.81573295593262,63.187593936920166,61.79372191429138,None,61.79372191429138,None,61.79372191429138,None,0,False,-1.0,-1.0,-1,63.64191794395447,None,,,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,go,0,0,0,0,0,1,1,4,64.12984108924866,None,1,1.1239609718322754,64.12984108924866,None,65.36889100074768,None,66.37456393241882,66.71431303024292,66.37456393241882,66.71431303024292,65.36889100074768,None,65.36889100074768,None,65.36889100074768,None,1,True,393.9650058746338,410.7999801635742,right,68.05756497383118,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,go,0,0,0,0,0,2,2,4,68.56334209442139,None,1,0.45084285736083984,68.56334209442139,None,69.10471606254578,None,70.13000011444092,70.48659706115723,70.13000011444092,70.48659706115723,69.10471606254578,None,69.10471606254578,None,69.10471606254578,None,1,True,291.83292388916016,350.09145736694336,right,71.6429169178009,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
left,go,0,0,0,0,0,3,3,0,72.14939212799072,None,1,0.11496877670288086,72.14939212799072,None,72.38402009010315,None,73.38822197914124,73.74343204498291,73.38822197914124,73.74343204498291,72.38402009010315,None,72.38402009010315,None,72.38402009010315,None,1,True,305.36866188049316,349.84302520751953,left,74.92464995384216,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,stop,0,0,0,0,0,4,4,5,75.43067193031311,None,1,0.29922008514404297,75.43067193031311,None,75.85032606124878,None,76.86389303207397,77.18498611450195,76.86389303207397,77.18498611450195,75.85032606124878,None,75.85032606124878,None,75.85032606124878,None,0,False,-1.0,-1.0,-1,77.72294306755066,None,,,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
left,go,0,0,0,0,0,5,5,1,78.23074102401733,None,1,0.3971571922302246,78.23074102401733,None,78.74605798721313,None,79.74757790565491,80.09389400482178,79.74757790565491,80.09389400482178,78.74605798721313,None,78.74605798721313,None,78.74605798721313,None,1,True,320.9490776062012,316.7529106140137,left,81.26595211029053,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,stop,0,0,0,0,1,0,6,5,81.76876091957092,None,1,0.09872317314147949,81.76876091957092,None,81.99556493759155,None,83.02859210968018,83.38362193107605,83.02859210968018,83.38362193107605,81.99556493759155,None,81.99556493759155,None,81.99556493759155,None,0,True,444.40174102783203,366.4546012878418,right,84.71725702285767,None,500,500,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,go,0,0,0,0,1,1,7,3,85.23476099967957,None,1,0.12765002250671387,85.23476099967957,None,85.46820712089539,None,86.48267102241516,86.84567904472351,86.48267102241516,86.84567904472351,85.46820712089539,None,85.46820712089539,None,85.46820712089539,None,1,True,291.69178009033203,323.9319324493408,right,87.98200011253357,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
left,go,0,0,0,0,1,2,8,0,88.50313210487366,None,1,0.027971982955932617,88.50313210487366,None,88.6115391254425,None,89.60414910316467,89.93026399612427,89.60414910316467,89.93026399612427,88.6115391254425,None,88.6115391254425,None,88.6115391254425,None,1,True,347.8810787200928,298.2745170593262,left,91.1417019367218,None,-1,-1,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
right,stop,0,0,0,0,1,3,9,5,91.6421480178833,None,1,0.16112303733825684,91.6421480178833,None,91.93609189987183,None,92.96167707443237,93.31497192382812,92.96167707443237,93.31497192382812,91.93609189987183,None,91.93609189987183,None,91.93609189987183,None,0,True,1751.3370513916016,547.0006465911865,right,96.14291310310364,None,500,450,pp_13,icub,clamp,2021_Dec_23_1124,exp,2021.2.3,60.05031032335192,
