Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,go,0,0,0,0,2,1,13,1,109.28099298477173,None,1,1.5066518783569336,109.28099298477173,None,110.88020420074463,None,111.86085915565491,112.21958899497986,111.86085915565491,112.21958899497986,110.88020420074463,None,110.88020420074463,None,110.88020420074463,None,1,3,82.34906196594238,712.4526500701904,left,113.5663001537323,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,2,2,14,4,114.07492208480835,None,1,0.5273330211639404,114.07492208480835,None,114.67785000801086,None,115.67406511306763,116.02163910865784,115.67406511306763,116.02163910865784,114.67785000801086,None,114.67785000801086,None,114.67785000801086,None,1,3,378.2064914703369,790.7009124755859,right,117.71651411056519,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,2,3,15,2,118.2368631362915,None,1,0.3401200771331787,118.2368631362915,None,118.65763998031616,None,119.65451908111572,120.01500296592712,119.65451908111572,120.01500296592712,118.65763998031616,None,118.65763998031616,None,118.65763998031616,None,1,3,677.0904064178467,-1.0,-1,124.21669507026672,None,450,450,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,2,4,16,1,124.74796319007874,None,1,0.4455139636993408,124.74796319007874,None,125.29829502105713,None,126.2820360660553,126.65009903907776,126.2820360660553,126.65009903907776,125.29829502105713,None,125.29829502105713,None,125.29829502105713,None,1,3,292.29140281677246,697.8192329406738,left,128.16868805885315,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,2,5,17,5,128.66945004463196,None,1,0.594343900680542,128.66945004463196,None,129.33908605575562,None,130.32946801185608,130.6749610900879,130.32946801185608,130.6749610900879,129.33908605575562,None,129.33908605575562,None,129.33908605575562,None,0,3,293.28417778015137,551.4280796051025,right,132.08580017089844,None,500,450,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,3,0,18,0,132.5918390750885,None,1,0.42000603675842285,132.5918390750885,None,133.131520986557,None,134.14561009407043,134.51110219955444,134.14561009407043,134.51110219955444,133.131520986557,None,133.131520986557,None,133.131520986557,None,1,3,384.9449157714844,480.2989959716797,left,135.9033420085907,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,3,1,19,3,136.41996097564697,None,1,0.3532218933105469,136.41996097564697,None,136.90162706375122,None,137.9023060798645,138.27088809013367,137.9023060798645,138.27088809013367,136.90162706375122,None,136.90162706375122,None,136.90162706375122,None,1,3,527.172327041626,481.13560676574707,right,139.7924280166626,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,3,2,20,3,140.2957091331482,None,1,0.44714903831481934,140.2957091331482,None,140.8372139930725,None,141.8489990234375,142.2059199810028,141.8489990234375,142.2059199810028,140.8372139930725,None,140.8372139930725,None,140.8372139930725,None,1,3,226.3927459716797,440.28282165527344,right,143.4066321849823,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,3,3,21,1,143.92036318778992,None,1,0.425555944442749,143.92036318778992,None,144.45938897132874,None,145.4954390525818,145.8535439968109,145.4954390525818,145.8535439968109,144.45938897132874,None,144.45938897132874,None,144.45938897132874,None,0,3,-1.0,-1.0,-1,146.29569816589355,None,,,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,3,4,22,3,146.78911519050598,None,1,0.7306709289550781,146.78911519050598,None,147.63051509857178,None,148.6287031173706,148.97541117668152,148.6287031173706,148.97541117668152,147.63051509857178,None,147.63051509857178,None,147.63051509857178,None,1,3,494.9452877044678,487.4129295349121,right,150.52247309684753,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
